F112017-100-0,F112017-100-1,F112017-100-2,F112017-100-3,F112017-100-4,F112017-100-5,F112017-100-6,F112017-100-7,F112017-100-8,F112017-100-9,F112017-100-10,F112017-100-11,F112017-100-12,F112017-100-13,F112017-100-14,F112017-100-15,F112017-100-16,F112017-100-17,F112017-100-18,F112017-100-19,F112017-100-20,F112017-100-21,F112017-100-22,F112017-100-23,F112017-100-24,F112017-100-25,F112017-100-26,F112017-100-27,F112017-100-28,F112017-100-29,F112017-100-30,F112017-100-31,F112017-100-32,F112017-100-33,F112017-100-34,F112017-100-35,F112017-100-36,F112017-100-37,F112017-100-38,F112017-100-39,F112017-100-40,F112017-100-41,F112017-100-42,F112017-100-43,F112017-100-44,F112017-100-45,F112017-100-46,F112017-100-47,F112017-100-48,F112017-100-49,F112017-100-50
371156534419.8041,412392835352.1432,345350114208.5538,394354908774.09937,315075899013.93976,275080913259.8122,358455412851.57117,336434002305.0637,355243950593.18854,340243705677.5549,320976927128.9096,321568751960.40454,387951554015.1453,397870958731.47296,391812672433.3227,372216862577.0174,379779306798.9226,329440135643.0015,266822652412.32123,364764576691.3498,354878223109.6615,308773855496.571,373008521607.943,337615464639.5502,321182571520.3308,343556009585.68085,337430771857.01013,309482967169.374,278260590838.2431,375615123272.6512,365031616094.99347,316107435829.30725,383629013093.6133,352940267128.8644,332126137430.9423,433347209205.15674,399397120693.26,421719341710.473,319073210196.0229,351054487158.3545,340069811479.1112,364518332671.0039,290967954608.5986,388734948839.77356,330378803902.59686,362125752331.43787,358402329837.26025,308283252766.88,371746103291.05,386449309570.73584,339323614402.84283
263071448479.18228,258780604402.70953,250535549486.26663,246824706650.4095,240855630609.9226,216646941195.52817,257017123665.88123,236055194842.68906,255010215308.34167,195123907264.0932,250108269431.6243,240345605349.52322,245679707622.95364,245476185702.54285,230596184874.7134,250265014207.5521,255318164247.00848,214631932750.58737,242321292194.7527,230745667285.3952,244787873050.70535,254014969279.78052,260021591861.86346,264873514322.07742,245855427699.08817,266121324935.5684,211318775395.79514,264395266547.66547,249914987663.552,249263964838.79367,250362624173.4644,252795843864.82498,228951596979.97247,253314390134.408,212725346786.3798,242047624280.75507,263812455494.4599,263917891546.19565,243373648533.8313,245644423049.4004,259598745333.6583,251425417227.97964,254090768360.67303,239285860372.5722,237023714545.3458,266427232203.1595,250648230563.68417,250898435241.88797,264627243150.25754,257100609569.95148,264547773113.9231
254615398906.66965,241371432351.80173,248205904231.45984,246824706650.4095,234119454756.4778,212577731076.9979,229908543813.96634,227806827536.82208,244705681672.37704,193245229816.30936,242737038689.89978,237308689431.7735,240988853090.75546,241556451904.85675,228530740788.909,246140744939.90253,250711114127.24832,210325493707.2466,237259415373.28024,229579327536.55554,244787873050.70535,247921881059.05115,241990330850.98773,260822051014.87524,228134777134.27005,248904005208.46576,205523676596.3206,240439870633.95538,247676180406.80222,239178282210.03326,231613063319.373,251142664321.93005,222912186272.3612,221289935298.71722,188474145142.36188,237888154714.88663,256673766521.4799,252093305949.93906,241175228378.21518,240849447806.64682,252275339647.4037,251425417227.97964,232012309607.53244,238611051618.10535,231075408768.5231,239242938663.60443,247820848194.72974,247127390210.36874,244083704906.92358,234384632468.95206,259239693934.4734
252545799865.03033,241153629064.83423,241902622726.2947,239919125673.63992,228244253784.26132,212495135307.87335,229463888755.0067,227102463646.1144,242452225238.22467,192981730075.40475,240978223710.60236,235087095905.458,235952140817.17657,241243566981.4509,228529305923.64188,232755579268.03442,250536644084.9923,208832585768.96906,235998143402.89117,228801138099.63693,240093954934.41275,247921881059.05115,240578852338.79163,258012946161.87967,227386623222.17407,248561658487.79825,205523676596.3206,234375824292.7435,247291600350.0779,238972816239.73297,229658897806.53546,241788906587.76364,219125975352.61017,204855768942.23975,188199023230.88846,237396539574.1472,236655193596.08704,249173129241.5145,205848647650.77368,240712890022.5158,250511732920.57153,232668036987.60483,224968511067.82843,238611051618.10535,229879331487.2233,238200755707.1142,247708784977.3734,242487274240.21002,236897173606.23776,233436824820.87094,247245849789.20193
249329392417.83215,226782838579.13028,206248795268.37396,239042128050.00153,227938542800.31805,212486712928.92453,229463888755.0067,227102463646.1144,240729117603.8823,192977525291.2321,240203816432.68875,233915396220.28705,231658444956.86456,241123391329.8457,225178322221.54694,227605406614.17056,249608565636.28934,208832585768.96906,235462448469.75757,222465341454.95212,231509012607.51495,244734046216.67584,235571677378.59607,257504421634.48132,227026764377.49564,248497028675.65308,205523270966.8607,234340985203.3842,236444989080.136,237995919627.34,229428065019.84763,229664888762.02182,218902010165.92996,204301327577.83295,188199023230.88846,237333880755.51202,232319380176.8145,249059605139.65244,204778205607.42148,239972651591.19833,249186333118.90967,231743901123.34207,209893612205.2083,215627630144.91812,229855697526.43942,235914418368.58078,246383670681.35645,238521935182.35538,236441155111.63354,233279058058.55402,247245849789.20193
249112017129.08163,224282653388.58658,206174156710.3657,237676376222.784,227879194014.56198,211099634315.8645,229457713692.3931,226683260422.03848,240626430278.1175,191131769773.5132,238974423188.71942,233859838893.79544,231534366800.75305,239931802608.41992,225088998611.2117,227605406614.17056,247945072246.64618,208822938226.38873,222984245227.69858,221492804236.43997,231418192308.99646,243651738313.3574,235515855762.7815,256502207467.01334,227023348202.54565,248489196539.43582,205521751763.4441,234259745762.87744,234967655991.90262,237292137282.43286,227679291552.68875,229311440443.7471,218884735778.03687,202416720933.1518,188164000652.98392,234898463041.68234,228862257252.33676,234332589419.80737,204716682341.9523,237673014137.83743,246003817795.19083,231662333743.39114,207665660793.84045,214684578387.4478,229845162179.64322,235840832449.79907,245573854081.41174,238284572813.35938,235293572782.11716,232979666279.5097,247115587862.3526
238120882193.1343,224061991236.00226,205102231732.50165,237164550830.6542,226269170726.30554,209858478825.17316,226124513334.30243,184686136744.70493,240247368914.40414,190967124620.30753,236367271549.92847,230614736369.67194,229312629015.48538,239857496615.0553,222931074044.3543,225623853062.2681,247945072246.64618,208811855444.67828,219168583298.68304,203062053998.28845,230445352362.9548,242887976031.6298,234391224220.53644,249581074567.52692,201577206465.13873,247278501401.65338,199473976925.57495,229926036530.47983,233934679340.74966,230201255998.03622,227199950031.9839,226071826711.93457,217891087141.40283,202416720933.1518,186932541414.32404,233663226902.0347,219141112593.32166,234048237485.39062,202185401839.75244,232913749845.19275,243246305390.34003,231661749811.8303,206307107708.67056,212387607389.6153,223277735833.00244,234977767747.59854,242805876875.76132,237988012318.42233,229887079560.54224,232355707893.6046,245963220855.36722
236796187915.37286,224021930615.22986,204947486390.55914,233558189373.3814,226199271719.48166,208962188634.7199,225189149622.3922,182851157096.7622,231743531808.0944,190967124620.02496,235571788301.36945,230088979152.31464,227557047060.3319,239809996961.10318,221418723450.50168,217240424992.53824,247587466687.58133,208801111165.71942,219168583298.68304,202846176689.49884,229071366533.34213,242323907977.22247,228709024472.5413,247274678761.30307,200095934939.09998,246870330002.55966,199472896001.57724,229655375129.14926,232324207361.37115,220438647016.7492,227198713465.8716,225546082496.73993,217658804829.34506,202409896079.77917,186920911302.11765,233642911361.3576,218614611956.33173,232833435595.6895,202185401839.75244,232391932757.63983,241797298721.602,231661749811.8303,206022716925.48096,212333736019.9946,223149410221.65442,230946363271.29715,242715164720.25513,237920455282.6647,226695257086.86816,231812054666.13422,245862020129.5578
231163156701.94,224009829029.75336,204078086287.94376,232475456197.69595,225917854545.6558,205104851748.86234,225166213373.72824,182416689938.02713,231589711335.41098,190318332481.13876,229081168898.3253,228648196480.07614,227527746927.6342,239808292152.6164,220702919106.2534,217187757527.8757,247415071388.4172,206727502450.76987,219159219286.79306,202822047741.9358,229001116096.5349,241767145125.29556,228060146437.0501,246817541908.64987,200095934939.09998,244611321738.5235,199462523546.45364,229618061685.6113,232054861211.77435,219425682433.95267,227198713465.8716,224611752112.40454,217646860336.80804,192120672235.8613,186920789721.92627,232861871965.95633,218424765393.7721,232804844793.48322,199542937557.695,229706662025.86035,238335968370.3405,231658846998.81793,205921484597.93115,212013286676.4496,221378568264.40247,230942418043.63943,242703596729.2872,236699924370.03467,226412014830.6303,231411899452.5152,242883187037.2144
231163156701.94,220326398798.62558,203274705566.10992,219880510754.5954,224752513655.982,205097795885.90488,225161861314.01764,182412945559.51364,231414174149.64633,188145902304.19144,228997823886.28638,220663159357.8715,225680364018.4963,239806919830.83423,220702915376.87592,216962318213.5083,218737387734.5363,206720943065.5221,219078515088.91293,200205307705.704,228647865894.18936,241650632040.9464,226868165811.07758,222977299675.3012,199990938563.87756,244105275726.2767,199363153281.701,227829438361.0658,230463317268.82678,219278467618.68997,226315180115.6289,214450396665.45197,217645853358.99255,190492760490.39774,186047385669.61047,232742915118.8265,218397902361.79358,231171931189.85315,199173607550.53806,229640299360.56018,238013820861.71588,230394367512.06604,205912943656.63147,211968342611.74844,221374928970.37476,226603961146.27368,242313615404.34946,236699245949.78894,218175275765.45502,231203636743.76517,241881607601.48407
220573969169.60324,218699362108.35342,203121225681.19632,219808842374.01984,221338493059.64825,203549828058.5406,224434043998.37665,181060259504.48663,231110344638.9088,187442121044.079,228428154275.23215,219551817105.8258,225660938012.20065,237477863616.26053,218263833870.3087,216931409293.84204,218715539245.4179,203707872276.25177,217412415119.43164,182536171784.6466,228562482807.2262,241520857785.63742,226697426977.2702,220244011648.95502,199986350784.71536,243921611045.88806,199361303786.31577,227758789818.84073,230111433671.91507,219193949656.4038,219417898525.01596,212274379381.35303,217551704258.4302,190152494717.8148,184925002563.65546,232726392227.8461,217629332708.28592,230864686158.9703,199161381182.20602,225289001307.36224,232754525070.8839,224270456980.33035,205910509811.86783,211958051426.35602,221373755677.79785,221086265266.31424,240592221065.7528,236698621711.03674,216837334661.37778,231181046571.93692,241766655325.9643
