F172017-50-0,F172017-50-1,F172017-50-2,F172017-50-3,F172017-50-4,F172017-50-5,F172017-50-6,F172017-50-7,F172017-50-8,F172017-50-9,F172017-50-10,F172017-50-11,F172017-50-12,F172017-50-13,F172017-50-14,F172017-50-15,F172017-50-16,F172017-50-17,F172017-50-18,F172017-50-19,F172017-50-20,F172017-50-21,F172017-50-22,F172017-50-23,F172017-50-24,F172017-50-25,F172017-50-26,F172017-50-27,F172017-50-28,F172017-50-29,F172017-50-30,F172017-50-31,F172017-50-32,F172017-50-33,F172017-50-34,F172017-50-35,F172017-50-36,F172017-50-37,F172017-50-38,F172017-50-39,F172017-50-40,F172017-50-41,F172017-50-42,F172017-50-43,F172017-50-44,F172017-50-45,F172017-50-46,F172017-50-47,F172017-50-48,F172017-50-49,F172017-50-50
718514298.2484128,896652828.7269213,676039803.2184297,3727565392.301755,1091150562.7093792,2053885201.2922618,405107922.85681057,3146836144.7030883,1050387559.7074041,2763362063.5683393,1080280810.271312,2450567605.2529297,904038193.5057868,663231832.1810994,2405601323.969542,1337564574.782011,2015690808.5041866,1914089364.6353638,456676263.5052339,2689634405.6220245,1349060048.125486,1538391794.7303293,3297432476.0212574,1376579283.8518395,2360000071.317542,4244554974.515827,1868616592.8946693,5183563925.961234,3183734585.7062535,1059917625.3789818,6557356643.738627,640800237.8876351,5331182424.376493,1420949787.530496,1569906091.0360062,2945162814.1699557,3065074073.7180443,1509273521.7274137,1929487504.0212104,1588062975.7774282,905184170.280827,2127229114.6563463,2064690881.982039,1434244438.9532886,1361784485.5465136,2339039296.5515385,2185924071.083558,2688829181.517033,204611811.98242602,2766875919.4503837,2049383091.1108706
345565361.15584564,896652828.7269213,500142337.5924883,1546401287.7203746,937221096.3689919,1374276118.7151115,405107922.85681057,856142364.3141726,319346480.021566,392827434.799134,745955640.128849,1156138736.1611538,88407368.4439829,657136851.8231454,1260168553.1007051,1337564574.782011,870394919.2667004,1062369594.8229704,456676263.5052339,498946880.73472327,404887295.93747354,1469554017.0850742,213418008.31940848,1376579283.8518395,945986814.7402114,819182536.8914051,773978581.876988,1679725919.36598,1592264060.6520805,441040021.6135386,2108215484.9521232,174146878.2157691,711519935.2786747,934692611.7004969,1569906091.0360062,785796514.5095125,392841990.1760762,1321666054.2119346,1863251252.6974492,614522263.0816593,520166184.0015874,407198876.88110405,795728821.5993872,1375089276.73629,1317022941.133189,876543535.8884419,1251467823.594798,1661561004.760731,164771242.39281246,700111504.8370712,621004219.4278945
157805906.69860166,420514823.37479335,474575529.8493871,189782901.87031627,644929436.2321558,862302974.9809326,352493973.2367559,629823463.6009524,187030901.8077396,215356192.3311643,232261458.82605228,375163893.0916079,88407368.4439829,368955870.22977304,608003776.1428517,587538503.9568528,391511799.7979498,570063800.8436216,456676263.5052339,353104575.9385859,170883421.4147249,780423766.1136084,202983076.50578874,1191950175.2602005,813962129.7826301,130229868.15221298,415066525.84280264,1062609494.3466313,927618442.7221663,431218569.8701209,756432220.6522785,166205364.3815861,632107310.686622,494693832.4817428,1038487664.1884346,117098159.73387128,344355857.731434,504781463.688496,972528967.1544031,614522263.0816593,435710783.6827144,407198876.88110405,469313127.1836573,603816618.3072165,766796270.6024462,496861437.2622092,318582796.2283851,1452412628.264873,164771242.39281246,645817763.847892,466269364.2439151
157805906.69860166,271093466.12327486,461447222.9557756,99482892.32676202,401990826.1222561,674438100.3026202,273546116.2466236,462995170.67761517,187030901.8077396,184393361.08257592,215185418.8259411,320771941.8016815,69889517.50287992,365044717.9518182,591068987.3239653,584843961.8081839,248578220.9559817,541018447.5606574,359381536.07568175,160618402.82455027,170883421.4147249,560842628.9384081,143267069.38771427,1191950175.2602005,171477661.78903556,127430034.53467023,289415151.0506171,677806061.4179497,660670736.6881253,167416908.97926036,457498756.7242291,112106704.55211967,267830668.14682996,289444011.166625,400647783.87294483,117070761.83692503,304777670.37201005,409091264.06467336,972528967.1544031,559408828.4810715,399067486.30543244,386384878.1318372,252029318.58345127,539083777.7227921,384875620.97408086,454357776.11832976,247328297.54838163,784129285.9474229,122273452.04598169,638767566.6266571,238559800.16657102
139936194.86274287,84131260.22366264,226614021.72635284,89079884.62732401,331886773.0570235,674438100.3026202,231750152.70694423,462995170.67761517,187030901.8077396,162334813.6338316,75303221.24736671,250531070.45164922,69889517.50287992,364931694.9972451,494814432.80711126,578220578.3787873,248578220.9559817,541018447.5606574,229861163.66377833,65201974.974322654,113948004.94844247,542513624.9640039,135449617.47570682,734818182.6266866,171477661.78903556,68925893.94127238,288842963.63200164,638500165.6289475,482004386.68052596,167416908.97926036,262347704.16734225,112106704.55211967,258290802.9568437,254469145.53183067,398530497.66261053,95263479.04120131,226337827.91455135,409091264.06467336,971222589.6440853,346235556.8951169,325662942.9229996,290149598.1315896,180709312.08020192,504718491.884047,302909252.60413635,228304113.84510976,247328297.54838163,784129285.9474229,88148968.02491339,349825635.4966829,220068460.7176439
124568949.75764853,84131260.22366264,226614021.72635284,49094108.08527829,58807991.927204475,602000653.6033895,225829524.2636347,462995170.67761517,186306698.59896997,143512192.49787012,72820447.86637893,195117156.80808914,54063285.46487627,297318237.51722986,196976336.33773136,557799937.5379053,145228691.5004903,522961810.1280028,229861163.66377833,65201974.974322654,55102450.49408568,435601367.872625,79246156.24160929,674855307.8337116,171477661.78903556,67854105.46495521,264026045.35965973,377215669.32573694,393498417.63302994,144329426.88094118,225870464.67511377,109527815.7756613,137482116.1642503,242567240.22323233,280534408.6530976,65058382.8895301,102937923.882752,394427756.4818023,696252205.0189012,180555716.4651848,114279946.28946227,217741945.879478,87799525.10894892,493003883.05650395,246784884.4900827,202481042.7580694,230531366.6066918,440791250.3993706,51110575.591119565,309477346.29132307,195078011.0798532
121494138.78696953,82361177.08041646,226614021.72635284,33920978.2433358,58807991.927204475,516802427.9201455,184829447.5079434,327730011.1466308,179120187.17532423,124672860.09133929,72820447.86637893,179964421.64865965,49417791.323734134,70010850.31178513,196976336.33773136,363939354.4329268,127547840.86287029,509667762.4672468,183972473.70606917,62061487.92147183,27851381.611091945,284961997.8348454,79246156.24160929,344262377.808688,114613780.62279992,48265390.90308139,221114393.61637735,224286640.45305192,389497028.2268362,133548515.4744349,193846469.3218433,84669428.76504032,137482116.1642503,188198563.35074222,233045661.1776944,58055971.3563699,88494437.47985892,279786663.99904346,596725693.3263481,180394043.90638655,87102913.29056054,217683850.84844807,87799525.10894892,432819785.9159582,236679300.34207964,150864673.5968069,188743822.07620674,439733522.68355393,45645771.66636448,309477346.29132307,181752395.1554611
113398668.60272402,80484555.27173613,185982570.96149093,31811579.187290158,58807991.927204475,476162357.5762983,139520700.92770642,294081800.6787801,177242465.23280954,124672860.09133929,57661417.74902968,174078000.9560566,37192313.29621591,70010850.31178513,103538339.49840201,158611258.36489573,111457018.91539414,456803739.4942828,131831418.5277289,61675841.626876704,21726934.882206246,185897415.37698823,78688082.5678425,294399202.0150119,114613780.62279992,28987398.51011426,182978619.846505,219544430.43620458,251193903.56144804,101390017.14656936,193277223.9429336,77637161.6538179,137482116.1642503,188198563.35074222,231589787.33007732,58055971.3563699,88143044.3200749,279786663.99904346,410552912.19167554,180394043.90638655,78383493.94778566,147102172.7379131,85749052.78387043,379637798.34499586,202965339.78266498,122962593.46775493,188743822.07620674,418302468.681124,36998525.49494786,280026003.2524198,177675390.87012792
113398668.60272402,72941150.53264377,185982570.96149093,27827245.55772102,57283353.843697816,458377198.4065744,105018913.574516,294081800.6787801,171322008.70481604,108924990.21167468,44945499.19311374,123753813.55863346,31974424.939818718,70010850.31178513,71507954.99167132,116650383.78894821,89661347.97317585,456803739.4942828,118168479.92930135,61675841.626876704,20727610.150405467,127379041.19726439,57337024.651674956,145259933.40202463,86610415.3197551,28987398.51011426,165381367.8001952,113780345.37444696,251193903.56144804,99665003.17861032,187433085.74802986,71606072.09978387,137482116.1642503,188198563.35074222,231250698.2335247,58055971.3563699,88004967.32747345,275070163.44838786,409747561.0823532,160887747.48260462,30836427.063736644,108290694.71824934,73472509.88278998,275646299.2717954,154267453.8624293,114254996.82176052,188743822.07620674,401768798.31840575,36507690.1658991,279351946.66916704,175203368.86751038
112195596.41547504,72941150.53264377,185982570.96149093,27693949.56238807,49634629.16466326,350901733.27043337,97837215.96473266,278904373.22163206,128392482.78611168,76591395.4807096,41034107.084192544,120134107.03820375,31298499.71002815,56372264.87057705,68969649.08583622,100347101.82247365,86263779.70757174,400386147.98646814,108105824.94169404,61489743.52861467,17597956.986936558,113510686.69485755,57337024.651674956,83864651.90984833,81244754.41555268,25712817.9492992,165381367.8001952,113780345.37444696,173778564.93753615,80840317.36102773,134515417.68663558,68999333.9465195,120068153.65147567,184699164.74775547,200050059.9134477,51193909.35848457,87986594.59466074,275070163.44838786,264849675.52774858,144389397.0403946,29922912.31739455,102880109.77530533,50410794.55244866,245200132.51113778,111104211.22830927,87035004.41449182,176586347.28372362,239905521.76475823,34313189.00374683,262097597.8723365,157036919.31212217
