F132017-30-0,F132017-30-1,F132017-30-2,F132017-30-3,F132017-30-4,F132017-30-5,F132017-30-6,F132017-30-7,F132017-30-8,F132017-30-9,F132017-30-10,F132017-30-11,F132017-30-12,F132017-30-13,F132017-30-14,F132017-30-15,F132017-30-16,F132017-30-17,F132017-30-18,F132017-30-19,F132017-30-20,F132017-30-21,F132017-30-22,F132017-30-23,F132017-30-24,F132017-30-25,F132017-30-26,F132017-30-27,F132017-30-28,F132017-30-29,F132017-30-30,F132017-30-31,F132017-30-32,F132017-30-33,F132017-30-34,F132017-30-35,F132017-30-36,F132017-30-37,F132017-30-38,F132017-30-39,F132017-30-40,F132017-30-41,F132017-30-42,F132017-30-43,F132017-30-44,F132017-30-45,F132017-30-46,F132017-30-47,F132017-30-48,F132017-30-49,F132017-30-50
102814046.00497873,54523327.324541554,271366001.32602787,109599766.06713088,130090983.79836303,45143378.665471144,217648468.95261848,82711683.172649,98777347.40716942,289843991.7976084,51012492.088741474,89464792.31321855,64749608.040701404,115103230.91704175,271624096.70400053,168029567.0642696,60453708.17471799,149984372.5534257,184390270.76287863,34058551.6951788,64753159.638491176,199362531.94067916,113949565.46618631,167592210.6958608,16963931.187189892,98253142.91462032,81762330.53675242,89427146.73595503,171782607.45713276,42474903.17876609,29774190.37203447,124689578.57030141,309176914.6832618,51289555.789126836,123679013.39448413,246834354.1214168,76674835.9305292,15080887.409753734,104286973.32296546,355288371.6590049,380499554.21677184,45483672.25185801,14382466.734641999,92466911.5413984,270550026.9697886,105413619.21264431,258423741.48807913,62051177.91974059,178605771.4315847,15381343.106035924,134850976.1618929
58691896.85366862,12856436.366733538,67398552.5390996,51876818.2162754,72130579.64426039,45143378.665471144,83545420.99583417,53045443.49045533,30064158.603326663,82431496.59310083,41935834.66094354,89446515.28403433,64749608.040701404,27237014.967056084,52828061.63627369,110909019.92591922,42962722.74449765,86747665.57456861,41041366.944619924,34058551.6951788,14376731.29247564,81481880.90711492,16600005.943352554,133552798.25391226,16963931.187189892,32677243.206850678,42239100.24568468,89427146.73595503,122471740.72546378,18248156.24498875,20695373.711795304,61486796.88990479,90175641.8770397,51289555.789126836,52788802.73548205,72638668.06944104,69708130.1773538,15080887.409753734,43013919.857378535,19951586.574161883,72252738.19808115,28808459.1191101,14382466.734641999,39136207.28626778,179479146.39022264,19620067.48095902,118259610.54110123,24978748.79854554,55970520.33338106,5040626.368457508,82945696.03158768
14644906.008755475,6878142.675776536,22840648.209778484,13475773.456357306,45328649.98181364,45143378.665471144,40732325.597308695,51425678.41972103,23156006.373872906,45507738.034608655,19081889.947883666,34932290.61574784,56562278.7987186,20946165.73337961,10265694.5776609,72446385.35861716,29586991.9035827,40686597.900427535,30194983.102712102,29788570.824264858,1578666.3124694473,18771275.03993697,16182375.950145274,39767655.05503463,16963931.187189892,32677243.206850678,28845269.40496236,21141045.899139218,19672075.47949998,9542350.202615596,13631906.765284443,26438338.370298624,15723956.273241283,38111207.46049639,12326120.367989982,30938661.79253367,37915923.56187861,15080887.409753734,43013919.857378535,18775928.890953016,52306042.83313583,12760692.125453886,10332925.984595286,25788737.666358653,93611556.99628395,11322888.779685024,56158054.372395985,24978748.79854554,44409001.74563161,5040626.368457508,27423669.770418
14644906.008755475,6411123.737810683,21460670.82262228,13475773.456357306,38102985.24016029,28239959.845871996,38524395.375248685,48348911.58108688,13409635.888742166,24025759.267320704,12085909.196914367,34055571.53972561,24595693.269033257,15276151.898085535,7770574.040003637,24540577.98744733,21858940.43066958,22719323.75796721,20163285.78801679,6067795.764989144,1578666.3124694473,18771275.03993697,16182375.950145274,39767655.05503463,11719641.358846083,19538436.805806544,26891799.252525017,13357731.690158244,15531909.068095393,3164126.447827664,6747415.267079777,8286148.559369844,13390619.05641421,26633302.89034917,9186348.005243536,11736739.406874316,13813978.943037212,11789016.458133936,29657754.38912205,18775928.890953016,34333551.67524845,9768395.142212832,10332925.984595286,22361750.42008504,67232784.57895081,8809010.663875613,8563355.149021065,21601386.2669961,30930233.258412592,1387821.0274171054,25682826.725397144
14644906.008755475,5954712.909675679,17644324.00068624,8681460.779235486,17841072.22871285,14508061.580756247,38332045.11451362,32889630.844780564,13409635.888742166,24025759.267320704,12085909.196914367,24153003.448803373,16653964.76117979,11604756.211439608,7770574.040003637,9975872.368822822,20232596.106603343,21840880.577791926,17297911.136885427,5001786.440521724,1395335.9555252627,14401789.342909446,16182375.950145274,30819903.61509774,8504316.630199803,19538436.805806544,26891799.252525017,13357731.690158244,15531909.068095393,1411287.8889937247,6747415.267079777,8043679.821544905,13390619.05641421,5377906.884840946,8002002.439562631,8384136.037714574,9797004.623386648,10884094.669862863,12612028.579156404,13058840.352427993,23183563.561865553,7912173.323828708,5722389.592241809,22361750.42008504,34831410.27192773,8740331.806513809,8187460.423032295,15708839.848910335,9442416.755557718,1362953.128372349,15644929.144405397
13359300.859850515,5954712.909675679,16368940.618232273,8681460.779235486,10606150.1978996,13435871.323188866,28842214.592935544,21468710.23572038,13409635.888742166,19747444.123398427,10951293.235889573,21914249.201566916,12942641.363097887,11256605.57381224,5891435.894225848,9975872.368822822,17636001.61473044,18156132.459349986,14275795.015583683,5001786.440521724,1394504.5000274866,8276920.793352127,7840681.41999765,19923098.617147036,7984817.97925847,18154559.8575624,26891799.252525017,13357731.690158244,14076932.052073583,1411287.8889937247,5080631.372710931,6876163.299010505,13390619.05641421,4671065.161036323,7963287.443673183,8005776.311281263,7229740.385331845,10724456.620275928,12612028.579156404,10675015.234789154,22391561.535406895,6198595.570361635,5722389.592241809,22336906.244906746,8822823.408947278,7432943.428541183,8163365.629395066,15190699.290655734,9442416.755557718,1362953.128372349,15644929.144405397
12755715.423113253,5817458.1607258925,11733313.183708437,8681460.779235486,4941949.014671307,9912029.224117333,25657322.24989968,19630369.203454297,7323650.352603655,11870486.682843093,10513665.696531104,20614584.32116823,8843793.583075095,6521713.517496785,5506183.496451014,9140972.384082064,8229122.057203115,17889616.94944196,4507596.031142401,5001786.440521724,1341997.8989140608,7965485.860752682,7450428.232775961,15800354.12607952,6580986.770459827,13344310.435329275,12812002.542734794,12885633.732269952,5763629.256378835,1236192.222480141,4417400.7113693515,6532593.195101796,13267451.526329845,4671065.161036323,6873774.661305905,6910342.313418419,4100078.953943646,10364753.08840702,6665610.868021665,10675015.234789154,17580093.01600028,3932639.935300754,5334940.795542977,21771831.407103017,7737246.948293733,7421713.079637634,7946342.439554676,12083177.891493225,9442416.755557718,1259559.0880054235,15644929.144405397
12755715.423113253,4269380.790381787,11733313.183708437,8014039.5659120865,4941949.014671307,9912029.224117333,23320193.598230615,14986257.422366789,5081795.045789553,10309506.987422736,10348896.169070102,19566663.94489516,3451750.948080086,6293920.247332542,5052451.102001512,6192518.87659788,7848066.424299133,14990969.937189717,4233425.485324601,4338770.041203335,1285665.392036335,7022680.744047344,6877490.331618068,14973475.251116712,6350079.033802123,9281081.329621729,12812002.542734794,9492045.318564335,5763629.256378835,440320.13595762954,4417400.7113693515,6517547.755790622,12325463.481310014,4671065.161036323,5437016.58855293,6549639.893120072,3542901.5552506153,10205593.296806857,6498617.629780626,9841096.708854496,17580093.01600028,3658937.213425041,5334940.795542977,20216977.066847205,7737246.948293733,7319306.756992215,7946342.439554676,7868942.070785983,8893048.027531203,1259559.0880054235,11748725.922966529
12755715.423113253,4241309.1705600405,7523702.024519988,7368519.333578188,3062759.578551341,9352641.931706565,9910806.125796411,10927197.902822394,4554282.713220489,10217496.140901973,10348896.169070102,19566663.94489516,3424111.455200624,6293920.247332542,4552104.0977377165,6145995.552594585,7848066.424299133,14261174.044308733,4233425.485324601,4338770.041203335,905921.1651617412,5169691.9333363315,5325896.1438240865,14599428.495741196,6335665.351139653,9172252.71822335,8507520.501632454,5582823.282524333,5763629.256378835,440320.13595762954,4417400.7113693515,6035174.085136249,12325463.481310014,4671065.161036323,5366888.800882622,5719923.306836866,3542901.5552506153,9511053.928013079,6498617.629780626,9607062.48164969,14193680.225422174,3445950.879013012,4697064.512799088,18743101.1414489,7348462.401166137,6343155.532899938,7911291.5503582,7868942.070785983,7949085.335594447,1220311.8095574258,1469723.1944846031
7196327.23608042,4198318.802825378,5343532.559607944,7126621.115814573,2256959.5823606215,9352641.931706565,9051860.791445363,9250717.616046475,4554282.713220489,10128460.778503895,10059644.710538309,19566663.94489516,3424111.455200624,5951194.109232349,4552104.0977377165,5869924.9481825745,7848066.424299133,11696506.678793726,4233425.485324601,3587519.9844690007,905921.1651617412,5169691.9333363315,4415855.1024168525,10687699.084995553,5740437.605353206,8817604.039006375,2543714.2178403805,5582823.282524333,5763629.256378835,438020.3412498271,4417400.7113693515,5983252.858211859,12323859.26067887,3795831.457380284,5045726.238544027,5373863.416721472,3542901.5552506153,9504897.621512068,6498617.629780626,9607062.48164969,14193680.225422174,3410360.0517844837,4697064.512799088,8454258.057977762,6399982.591246585,6081507.124072864,6057926.950010854,7836479.348728689,5946165.846468912,1053752.4198425033,1044418.8621619954
