F112017-50-0,F112017-50-1,F112017-50-2,F112017-50-3,F112017-50-4,F112017-50-5,F112017-50-6,F112017-50-7,F112017-50-8,F112017-50-9,F112017-50-10,F112017-50-11,F112017-50-12,F112017-50-13,F112017-50-14,F112017-50-15,F112017-50-16,F112017-50-17,F112017-50-18,F112017-50-19,F112017-50-20,F112017-50-21,F112017-50-22,F112017-50-23,F112017-50-24,F112017-50-25,F112017-50-26,F112017-50-27,F112017-50-28,F112017-50-29,F112017-50-30,F112017-50-31,F112017-50-32,F112017-50-33,F112017-50-34,F112017-50-35,F112017-50-36,F112017-50-37,F112017-50-38,F112017-50-39,F112017-50-40,F112017-50-41,F112017-50-42,F112017-50-43,F112017-50-44,F112017-50-45,F112017-50-46,F112017-50-47,F112017-50-48,F112017-50-49,F112017-50-50
35171506043.131714,34362271830.54632,46099584831.525116,57982757161.238014,57265281065.44156,48326307598.232574,67976792218.11411,57921119882.28337,50376561830.91637,35538756752.11493,43821612696.63338,49392904117.01098,50543358662.918755,52272395245.43034,40575917071.21585,36580480694.49082,58501624213.418274,50066157436.54413,60394990475.17591,50658735576.761826,51658897222.98247,39147199819.38256,48081224074.989914,70982891119.5244,48353320138.97894,44584411161.66403,59756167167.118546,40543845061.15447,48772909879.884346,65962787540.47675,57678764465.968506,50820657367.28085,60183225089.31763,52308682761.172966,51779209026.92265,37689141587.625916,56136943020.56897,62628159242.374535,53703794010.474045,49652871393.13309,50639173520.64687,62598307070.39803,57133538261.89766,56208980162.76395,50587595405.50929,59506976714.47431,57394062066.44714,23140290704.50033,61760071936.656044,35587682578.50035,47151905350.301605
19920147131.27685,22748093718.09206,30930145954.817715,29141414455.113003,32942051484.455296,30640087902.013126,29964688819.178604,30259281588.98083,24871576969.113598,17862093065.3963,27557741670.106094,21820237541.467525,29650216213.071934,26747953079.925953,23511609215.25526,15675281920.05986,35112353581.28504,24170927822.50214,31728969076.47504,27820930503.57642,26223820730.818047,27199442608.419952,28938044851.45056,31818422556.448483,30419127272.364334,28074753944.826687,31984314612.621323,27476582375.88347,29887836700.533222,27800543936.779655,29644425981.549316,32679655971.56798,32023747199.87642,30256221599.489315,31189370238.839516,25677286942.43201,30644947495.502743,35747931484.72085,27488604135.388107,25359911552.121162,26155817075.002625,32917996002.953262,31419887208.666725,28400078752.225754,25072194775.656765,30858120459.545174,35411809061.22552,14397997076.864862,27807913468.423256,24393408128.398026,31176289033.645657
14145913866.093235,19957134281.187584,24533252887.373196,28094610410.046227,27027291275.394825,24964677515.251953,28760693465.809963,29543574946.797295,23004696771.27102,15538827000.613447,26484405761.82573,20215535029.489063,27983558453.905933,20415273479.784515,22912133077.85511,12773587890.34567,25000622409.5905,22033863309.163483,29038160415.299282,23455215090.72817,26223820730.818047,20926746157.767086,28790118466.90047,30315984295.231228,29290694212.50396,23764194974.232254,25110721980.412422,21528725852.53344,26703679083.64629,25440340135.973465,25243121143.88446,18928583932.210693,30611194571.92378,26485330897.714844,19127077346.731358,24824414806.9162,27242980735.50123,32210092700.89028,25786880706.84867,22802447796.78669,22739499606.696037,29891897910.33349,26379297547.464653,22907278549.793365,23989574094.059326,27819862145.489567,31749191203.595276,13078351215.449987,23399499793.599773,20927451079.43448,28570097271.826073
14145913866.093235,19506349806.94288,24533252887.373196,25555164870.348785,25789301774.600285,24356627488.946724,24361743467.50025,21411894058.139088,20603450054.92984,15529721556.731855,26353965230.322556,16644576196.579678,24044080198.698616,18851544606.56104,20604256822.369408,12434218385.767797,23328116830.36135,16774368749.28931,21738708867.239,23438776311.63396,23940635741.573673,19248023875.72345,27117010539.898735,24691382612.985756,21956269975.519714,19948440753.164795,24725624497.31339,18465775447.559837,22380866503.320305,25064467199.219933,22958741048.36975,18928583932.210693,29260047635.71768,19730642701.480316,18854866324.197586,23572368927.95052,26370436283.748627,28995208551.199387,25630032579.49138,22486832258.976208,19104904462.027065,29310029054.79435,22596390856.86844,22005931095.593174,21900976382.321724,27544566563.88324,27818715987.396854,11541464361.707464,23399499793.599773,19987295823.318928,26880585238.549316
12858592696.923922,15538648331.85281,22431791070.48811,25497959619.557343,25705522202.615646,23527452170.3377,23420025463.029606,20659246203.26789,18758238470.298813,14962362634.812233,24850781042.470825,14952153959.931278,23330475257.256435,18389373784.28315,20479470188.85936,12239741190.863922,23113016895.749676,14445955823.663057,20727347803.17946,21354146388.35892,21973636010.324417,17952106995.254993,26748416526.649906,22975153011.91101,21415749227.15245,19199826509.846603,21880192709.835587,18259434170.42566,21792261315.15639,23362858749.6203,22651006881.894806,18527503089.51023,22996881368.393394,18102489995.805145,18550583420.47223,22040539367.422955,24584288138.452644,21501235119.976322,25445734499.262764,21879844939.255505,17760705258.46791,25056162275.87569,21448617648.888004,21658994040.663193,21065337420.176823,26035596172.12391,24049633616.467922,11249870748.983456,21868945946.04,19821775795.102894,26633756670.975365
11680294098.820477,15532603881.170595,21798020311.106754,25155960510.16299,25142781525.983284,22941431822.19876,23420025463.029606,20361855846.652935,16144759931.136595,14679286356.08034,22257317985.55336,14368819874.14657,22254105482.705048,18353014770.045742,18690256311.89324,12239741190.863922,22921893610.950806,13947703255.499666,19359251928.277267,19722666677.42059,18245253889.561646,16188241840.463936,26748416526.649906,22464132498.10022,19739644768.584435,15936917403.215998,18789940418.828136,15125691050.476873,21416664964.372322,23362858749.6203,20431072774.53254,18514518429.375694,22996881368.393394,17782552017.023705,15144437557.108032,19827765508.6579,20179356415.05307,19542638381.603245,25166524056.756065,21879844939.255505,13940587369.299097,24142467354.90903,20432065582.936493,21569370328.996387,20604901784.98514,24228650667.0352,20842831068.716873,11105905642.108889,19851340213.9389,18805287348.994564,24531960356.551926
11473422295.038078,13520647785.154192,21652524975.72878,24438693995.342342,20069156639.6679,22384127385.208122,21876339399.550976,12781008140.279396,13105881561.21304,14678760883.92493,21469793143.27931,13534353782.781464,20958869239.652702,18032762567.907784,18020887967.65551,10969125681.5589,20019894073.156204,13097906775.263899,18685831415.282772,18826967987.381165,16093908769.758028,15470839687.66668,26704391109.607155,21716374119.45811,17583072595.200367,15936917403.215998,17335289779.75482,14999664277.973537,21003894061.680527,22603146657.050114,18848007121.25641,16845963285.116507,21365714229.655266,17782552017.023705,14730110030.615265,19311054328.892838,20074303828.658287,19332646848.796387,18751716880.129284,20692179113.050247,13864565537.144108,23742996914.845093,19245163537.892483,20972601155.300064,20236804486.43515,23220423567.06551,18110448288.330498,10994768870.435133,17485755985.896744,17378827160.206635,24531960356.551926
10605558665.281542,12115966756.248148,20913165872.01146,24299392046.69714,19881407779.33699,22384127385.208122,18453681306.333336,12364235271.50762,13105881561.21304,13630931716.3389,18569610136.52491,13534353782.781464,20932307731.08614,17832676885.065228,15977084277.003204,10969125681.5589,19382047525.442936,10784843366.782743,18498218230.84621,18192126447.190567,14874841048.493298,15338049020.64369,26502217264.502296,20675224157.425312,16798535952.702147,15663088963.876741,13251738419.90849,14289636992.224298,18308290001.838688,20865621809.50274,17027214894.558739,16845963285.116507,21365714229.655266,17479234651.184334,13641950755.637255,17386365163.822502,19494790372.578316,18848044915.823006,18751716880.129284,20151206146.116306,13618447987.534851,22322504911.327156,19006900902.033318,20451202574.85586,19256592202.401684,20192044920.51635,18069389355.26166,9683555739.970224,16679383597.744726,15879988580.025312,22118293678.98353
9336080702.537554,11625663759.422714,19550193561.121662,22965508583.086937,19064478868.107887,22019676754.808838,18096683089.735115,11187572351.61781,11692880767.523249,13595507543.874088,18569610136.52491,12884827173.10542,20155432432.21846,16849150565.86632,14331339650.464355,10969125681.5589,16137389720.191828,10762544659.28708,18309913105.567673,18192126447.190567,14744098298.551561,14830848677.8596,25516723130.664066,18547817419.850895,16103890159.852116,14801864844.931583,12029652118.186981,14088714525.000376,18126821069.086304,20787901547.854225,16827510260.08205,16703583096.05006,18937483962.674107,17182121165.68601,13641950755.637255,16566584325.45024,19381377823.500725,18773416471.03734,17863065142.69395,19339105077.120632,13402301279.65409,21897388436.800087,18383638338.939487,17199342622.504196,18975310702.48349,19317177860.313423,17805561750.955654,9579560925.478436,15496078687.555437,15335077200.57931,21138598692.04918
8887093419.380728,10760425267.732815,19430663183.358616,20931837714.10653,18602570125.677097,21949508746.717346,16609144936.92345,10641596976.4912,10621031075.60628,13373450951.451576,18067338534.67617,12884827173.10542,20155432432.21846,16815729355.08379,13966848449.258366,10520241029.394402,16137389720.191828,10612431503.352058,16043449487.147675,16926072674.4589,14264832795.932228,14068313422.411621,24689258526.01271,18081991562.784092,16103890159.852116,14411755216.786457,12029652118.186981,13460656191.805756,16142176507.719404,18351325428.34558,16720591738.734558,15795995055.260595,18543587062.39325,16164507208.127459,13154960670.087341,14248762781.177153,17207791702.985413,18204244642.04942,17297792470.106598,19007550002.288147,12910478457.05434,20301566227.267193,17006117026.227764,17151912020.824833,18151478449.63708,16523186495.332544,16548291184.459608,8708131938.654198,13122470519.37255,14674817274.915487,20880113701.952114
8183982411.85933,10561120090.675337,18534571768.92149,19577006575.533375,16400349466.318403,21512177519.480118,16222643193.821547,10641596976.4912,10619788026.47579,13293262035.477365,17104587426.073627,12145228655.910822,19113081024.92078,16801698622.424343,13828254480.09557,10234436929.802063,16137389720.191828,9670483856.310303,14620838730.029282,15590232195.038279,14113599691.046824,13120858427.591385,24244687219.34377,18003921539.466194,14890826583.571844,14020520179.885374,11251283015.32365,11633195139.395344,15468378989.74447,18351325428.34558,15860646623.278284,15703554108.313814,16412134689.288553,14281511579.694656,12801677486.495977,13157574493.095549,15262876967.482811,17643558539.699253,16175486916.280819,18756401928.12998,12785069261.938032,18846092032.59045,16434131174.46845,17119717125.20243,17092700216.029322,16523186495.332544,16055306410.60233,8208839798.821421,8478072945.272762,13900844999.591171,20388598849.71773
7809798690.689268,10561120090.675337,18534571768.92149,19135446820.195892,16095985266.583883,21021090921.894894,15866151606.137577,10591154322.43427,9583043517.1472,12803824221.617195,17104587426.073627,11936516034.020855,17317748306.871178,16657319797.324932,13828254480.09557,9527405457.342445,14963186066.606474,9284198509.167055,13983148706.458822,15590232195.038279,14106514040.633823,12436820258.198944,21187871624.31908,16732284067.258217,14507130522.015776,13226384934.752234,10770860274.75388,11253880057.852121,15174843671.893452,18240781231.538956,15860646623.278284,15506776032.452168,13903295195.166618,12073487044.530157,12559639303.014582,13157574493.095549,15262876967.482811,17122799022.49578,15766057006.680174,17671127389.558174,11916072481.38193,17073797931.33282,15843447660.817307,15821425048.297058,17054972672.446135,15779446907.88113,15625446724.822155,7286768230.056807,8473113033.277937,13887693742.146904,19074970835.945568
7269599660.536624,10128548848.097988,18143189047.36866,19135446820.195892,15053083359.26433,21021090921.894894,15372244687.408592,10534372438.660843,8333285890.128639,12052011658.336876,15343163601.645914,9976995064.051191,17317748306.871178,16628176808.360287,13723998041.846527,9527405457.342445,14895302096.40384,8748272859.39218,12656738305.994005,15194573109.109762,13976319924.413595,12248817703.887815,20246090134.433388,15622379204.954994,13422480429.771008,12228390107.057104,10198789755.331448,10771101325.711964,13296648579.677923,18066034305.057243,15758691908.84522,15459174005.87873,12896108338.501032,11581538603.111294,12545236012.360971,12366523655.304033,15098491159.211424,15748345082.269215,14926165068.17616,17016553945.897614,11427109397.033888,14588479208.616272,15455226056.80041,14992678730.419134,17051423066.654465,13141873833.910076,15488039160.832119,7174317324.210311,8134563229.217771,12631568068.174763,18112820793.11071
7173722698.452529,9167792269.034033,17497994447.724483,18163134471.587177,14220714127.298637,20089187749.935215,14956831086.942059,10422692246.073902,7092620983.870117,11770625026.18508,14365321842.377499,9690942659.260536,16688004838.818455,16628176808.360287,13516345985.651888,8602689553.032503,14822627737.705591,8149566936.056218,12012216034.284714,14255723724.791609,13903388482.63596,12069977681.03961,20129179659.343063,15364514104.431038,12604133321.956888,12041924297.6173,10198789755.331448,10248864855.446524,12501640178.525234,17571303650.867367,15265645430.357117,15123951685.380688,10672711356.12373,11506042784.772045,12277454299.820684,11973818950.776007,13352713300.13928,14956401944.432709,14409454683.826057,15239660153.936825,11220613955.137718,12837987381.160374,14798507595.496168,14418242336.352905,16857011168.29077,12164365031.637243,14165183545.39705,6999299348.142063,8043227177.314342,12330002910.853836,17656672957.866844
