F12017-50-0,F12017-50-1,F12017-50-2,F12017-50-3,F12017-50-4,F12017-50-5,F12017-50-6,F12017-50-7,F12017-50-8,F12017-50-9,F12017-50-10,F12017-50-11,F12017-50-12,F12017-50-13,F12017-50-14,F12017-50-15,F12017-50-16,F12017-50-17,F12017-50-18,F12017-50-19,F12017-50-20,F12017-50-21,F12017-50-22,F12017-50-23,F12017-50-24,F12017-50-25,F12017-50-26,F12017-50-27,F12017-50-28,F12017-50-29,F12017-50-30,F12017-50-31,F12017-50-32,F12017-50-33,F12017-50-34,F12017-50-35,F12017-50-36,F12017-50-37,F12017-50-38,F12017-50-39,F12017-50-40,F12017-50-41,F12017-50-42,F12017-50-43,F12017-50-44,F12017-50-45,F12017-50-46,F12017-50-47,F12017-50-48,F12017-50-49,F12017-50-50
279947631787.63617,231997895162.4052,297455499250.0851,231081219396.6218,238058328366.4991,256062653744.51492,294567274709.94855,245481176988.1744,292169225492.7585,169128536934.9112,232151257492.12604,227313057659.9188,245808876380.28793,254935756480.24597,182331038815.22357,267287052610.86688,263652092333.48727,154262318332.87488,249132860948.96143,277138119372.9689,291859359878.1027,257827883156.3237,270049981793.78577,274803471551.72922,286623469495.81366,244792100243.3442,279035055843.3272,262150473206.06473,269826059353.52863,238193342222.99832,268842805388.04385,258201752287.18027,257553422603.81668,277608770749.8714,251200004625.49557,271831622698.38144,278570423893.45605,272101248185.74084,250614339110.36557,230635507829.14334,269552794816.9122,238136131927.9404,264386450374.18762,257313066938.48422,237141242865.92007,235893004294.85016,207699698504.9257,261949251452.4055,259986957074.4807,220778786503.3203,269967584504.2641
216017149350.1179,183177507442.71234,217198826114.77084,221905940761.28476,213743756645.0322,202142906506.66855,241885597637.47916,192756644401.3737,182140582819.34888,180706642323.88977,201176478935.93723,205292117517.69766,207645107994.5275,209183900811.6847,213092317859.3399,237715716763.75992,211704601692.8575,150838918699.70352,202288247741.15158,189379942542.4433,215534393176.61914,216845402708.29678,225402627154.16998,230700631289.14325,217792087681.9518,159834516577.24814,167123848903.35373,199704992667.0008,199130960342.76712,212778094496.75546,208126659149.51617,196667287353.62714,229136344565.19153,229849534453.77222,202483300085.26184,193408230916.4993,219303358315.52496,220274193042.3566,218418542251.646,217386400133.7327,214691326322.11594,204912203075.20502,226418379539.60696,201610226880.02588,223736003615.3539,212165837942.77988,169395406941.3509,243637844171.72302,207257750201.68365,176888739922.7723,193213587816.45947
194516554078.5265,162600868198.32266,165770008760.42383,182953211859.10843,177390374654.05444,176525085079.19525,173906979367.04315,137279023407.85872,145504151047.20895,169991505685.4594,190083861342.65604,152633136638.08176,157236287922.76346,177922661678.67157,154869381700.41934,169684862778.38208,199465745014.31827,178363218532.6157,174768567341.28326,161958261710.00217,186680397738.35687,143809647949.12167,176584293674.54605,189304369198.33633,177262233165.2341,165300315561.73514,141655444976.34415,176484320894.54532,169512369312.9209,169996965576.49518,185551175588.61084,159244117154.22723,179321510188.2479,178747655088.4357,171422429803.7567,176890868169.74866,175380961892.71472,172392609568.55948,162770441308.5784,189961195148.32544,194155273178.43182,188685997342.98798,193535442183.30682,171077584040.36734,170734316154.73593,194405391481.8187,168839215217.14737,200247506505.34116,184421515177.14084,165525335197.65802,173951617502.11157
158309222998.88028,135227743849.10303,180042489819.59833,150549899367.25235,160595027225.53757,138612410426.87866,151530994493.09436,97782646668.02466,131875571956.34566,133689685904.2148,143900197288.40637,130623320350.97919,130374809238.94885,158771917108.04193,143281996835.32578,157631129175.77618,158995392517.63477,155751442030.57495,155737936474.16852,137168328067.41168,156293795947.8638,160069470578.50916,156389775550.7635,157068030402.49768,167169006116.4263,121118490778.68498,119701148671.0873,154114274721.13327,158319146039.7242,116630200204.94531,151742674576.3275,149934233889.11533,133793688161.35042,156154620121.88382,161480939633.89798,150451024134.1702,167802461862.6003,165595824557.14847,144687082921.32425,148622829257.94278,143082004308.30896,156610093408.308,163090982894.74768,141771167365.39996,166368314078.3638,167699699461.20917,122226213355.84158,156633633013.37485,148020664034.2374,133031411019.14514,132936507270.82909
140465521099.16586,134184014401.84077,156974862640.1881,139363850039.5559,127353363103.7772,122875391497.13974,119502697407.34285,114615515346.59671,125798521508.0702,123971961876.28981,139896004865.67847,126796336986.2395,124202685229.13753,138108566069.7059,142195624273.24048,144210974290.07983,150725879099.89633,131227027514.10815,141106990933.05676,125900920287.49875,130870358279.77881,133694345443.693,129974078129.1941,143351128178.20938,146873902735.18744,130012239773.02129,113634282939.7242,150596193272.52975,124207702774.02599,129468721485.44968,131686249468.69542,134743548387.2767,125742920181.80524,139109129033.90677,147664999296.76068,143268534218.89487,140101092477.12625,136221684933.84923,119829892007.94563,135399984144.67938,151798309698.28043,151702133427.56003,146617648793.25317,131792039206.28754,133356932063.41336,140886755362.01883,122178197917.98605,136600491328.09666,141380582488.5956,121584360586.63405,137895896571.35718
139778133974.4443,119664944401.99057,138470040362.56784,109719439996.02698,128971310886.33054,116709832032.76205,129071866858.94556,97198444114.95938,110354961188.42754,108770815373.99783,133179034317.62897,108532309191.38493,109546881003.58684,136999698743.1071,124208236872.75192,130152514095.40016,139925671338.23843,95361283550.56534,125251941969.20885,115765294134.25555,120702503237.60963,121373943056.41959,129197840109.12355,112909773196.213,129903937256.69427,113238721032.1106,113436742453.02115,132407239053.70076,114032341528.251,107025517862.3584,116239192997.20673,128079975271.51039,144755517065.84372,115073866445.47122,136188096258.51851,134387948585.78499,135302855400.20082,135430598916.87334,105437369554.00185,119313786091.97252,136035230874.65834,133784247408.75737,135260808108.48569,105674822693.89828,129094056040.83922,134114772291.8829,116302186350.8298,131968356756.92848,130427520665.29532,123167459325.45332,106199523963.36272
124609588100.27582,94582472074.1037,128631021100.30247,128236083967.32092,117629809339.94147,100808644686.49423,119945205296.37263,91530475156.6404,102879018322.98836,102028789397.35808,118589479314.78773,103493495486.75026,101312450503.74348,128163953337.74239,124929617663.32695,117509084978.59415,116231974830.76653,103494055091.15106,106869774422.52557,96916331063.25636,118274393478.36783,113596840937.50621,120873383930.91064,118768802296.25867,127674321452.725,102676688751.05263,91080925752.77094,132892284888.15384,97089132113.65297,106455441194.1652,106614047861.4907,108885416619.08167,119305548880.69917,103433262603.11314,139277931538.78622,131469772797.4497,130811742846.57529,100864834018.3734,109985069666.54373,107024526189.50473,120955552323.1305,111864402040.56955,106217349219.55695,96121794015.61572,114286390402.00476,118196545048.91394,77540462045.72324,124029485187.08202,100478025059.0681,106909952872.2311,97848728686.03786
113919860680.4763,98983762563.08228,106553540522.1569,113750155896.38585,90827210484.30605,93970657161.59138,115672448112.48262,76455962946.2539,93532621914.39087,104302207972.86679,107367979785.42308,95802543459.0218,97958320045.4766,109118386934.6795,105487761763.13039,100596399469.98586,118896446165.9163,92101216074.54364,104169601166.37596,101224341212.83742,108045256848.11592,106481700193.95543,123646526059.1748,115621706372.07753,108418173346.31964,83561609102.7351,76280570650.8931,117674715474.42198,95340784235.28906,98719117283.2018,91396104707.19289,102481053769.54219,110828067927.08249,74819188428.52019,120391029940.08055,115872472336.86496,110845676551.46696,107507356605.84279,111863698725.64761,86664004217.12724,102378580433.41243,98866868203.33276,107078982597.46475,100471583587.10545,114106100642.17468,115914706521.34402,84687309185.61078,111677882075.7618,109403220440.09937,85513203344.23643,99323636110.30032
112508807042.55377,100030739041.36597,87363007163.35515,106068158076.43292,88848143846.21202,83383510086.87181,110930183367.7305,88352312953.85988,76962890783.34825,96017804573.42693,99578535310.28838,84006043176.1693,85894478847.72223,108899070587.7143,106755876175.6295,101545283911.17928,120475334347.66376,89757057339.27684,98280072507.17668,90490438260.64542,99622611182.3479,94421198918.57639,107669831205.59395,102630429741.23204,94655193702.91058,91809700618.16176,82568984912.65802,104438385779.608,87359504428.52274,88560752475.40926,77951534071.39899,98564898014.18065,111030158410.06178,83746998553.38828,111758548097.39075,117384665141.66982,101105694862.37694,106634753628.46646,101193897462.52565,106349696655.69153,96203840366.63779,95009806464.33238,89345208509.47488,87750492007.08974,101814129992.04016,111506867760.49483,84207343935.44063,101049401965.80644,89030287325.11482,90535166914.81807,98275402873.57198
96155245222.92522,87967317983.11516,106729589329.04347,103824854417.81032,91016178360.37149,91561459645.2208,109755601029.90192,78669547480.13707,83389918508.53236,95543057989.80397,100416536772.13823,101428279103.08794,90199970651.65312,109437176721.0634,94098762226.43205,88684623964.08,114105925690.7613,92149849992.03568,97096221749.39778,86154464689.37234,85544382662.5511,90249223195.12976,115509594411.67247,95881110700.20784,96384454272.45601,81521225992.3227,70999774687.16307,108918244239.68805,86606873485.5761,83136784931.5537,64816756449.8941,79614867865.50093,108821777842.64087,87706854419.59213,108131161915.13936,117051319107.30045,108422299864.87375,95950374187.14528,101072200489.25949,107438273147.56503,82787639197.02074,89547732617.20432,89561380185.129,95982790235.63301,109422014644.32452,108580891881.79713,75471290726.43468,83004165343.37323,99423732730.05347,89803007024.13097,93104628787.26932
