F182017-30-0,F182017-30-1,F182017-30-2,F182017-30-3,F182017-30-4,F182017-30-5,F182017-30-6,F182017-30-7,F182017-30-8,F182017-30-9,F182017-30-10,F182017-30-11,F182017-30-12,F182017-30-13,F182017-30-14,F182017-30-15,F182017-30-16,F182017-30-17,F182017-30-18,F182017-30-19,F182017-30-20,F182017-30-21,F182017-30-22,F182017-30-23,F182017-30-24,F182017-30-25,F182017-30-26,F182017-30-27,F182017-30-28,F182017-30-29,F182017-30-30,F182017-30-31,F182017-30-32,F182017-30-33,F182017-30-34,F182017-30-35,F182017-30-36,F182017-30-37,F182017-30-38,F182017-30-39,F182017-30-40,F182017-30-41,F182017-30-42,F182017-30-43,F182017-30-44,F182017-30-45,F182017-30-46,F182017-30-47,F182017-30-48,F182017-30-49,F182017-30-50
3565769231098728.5,4727580896957289.0,9651152418566150.0,1.226791253260013e+16,1223087523532244.8,316163014974532.8,1103050772654658.2,2196239307973492.5,827797448661396.6,1314598081632100.0,1.1189111688058304e+17,5882145754921913.0,2.9552045208859332e+16,1.1268416587499554e+16,439837637107542.0,7120922087855819.0,7535344460169020.0,4.408779145120036e+16,4172567618311320.5,452942448710976.44,4341647877196296.5,4526468048918230.0,2.800254911371378e+16,3.578324349234118e+16,248441402580031.4,8792519485856215.0,2.545201834796857e+16,3028042996259505.5,148976991988944.53,1.6224113315748396e+16,4403458091016486.5,2.3449960741381536e+16,6554531560710164.0,746417562577816.9,1.9994945333125236e+16,3545795252498828.0,1.2249929526590728e+16,1.235149074945336e+16,1492179730418643.2,1590286398886480.2,9614560250722128.0,1.0234760452512829e+17,1426159297766177.5,8.386715826118051e+16,253697690303206.88,4337884350251749.0,2188418142321490.0,6.566001166706984e+16,1639022250088483.2,1836306191100638.2,2478936559778492.0
379241869890928.44,453536050826411.4,4681789478683429.0,1714525933080629.8,1537321608571.028,39621371317553.39,413665291962924.4,175012297645989.66,827797448661396.6,23074776621620.76,2288582274142958.5,5882145754921913.0,2784656524456709.5,1058328977456835.0,439837637107542.0,258091844143939.2,7535344460169020.0,2629994503254953.0,2601342870444369.0,452942448710976.44,318539399891.745,3995234880426584.0,3749310711541582.5,1240694490926179.2,104607117425863.77,73297135180026.7,155497242862621.8,543820444937240.25,148976991988944.53,413076686125945.25,180468773644256.2,2.3449960741381536e+16,6554531560710164.0,201296783067357.22,257038508424198.34,3545795252498828.0,1410002586814889.0,1.0227987049148502e+16,152727828157121.6,192424660584857.38,4155328263412193.5,686519308359065.0,74540850428867.03,3765786712023332.0,253697690303206.88,233403300455702.3,1388803880119854.0,69956222250918.14,580476029382054.4,443389998765315.5,118965769794075.73
379241869890928.44,331023526176393.8,232152294501971.6,419844677344456.0,1537321608571.028,39621371317553.39,41185553742981.914,8643735268906.08,215078429381003.03,23074776621620.76,904692768757985.5,5882145754921913.0,1618344419352515.2,43036455329197.25,439837637107542.0,30192606147854.95,3214824807063534.0,2405830022155765.5,269673140315076.2,62717977165709.29,318539399891.745,3995234880426584.0,215154021882623.97,1240694490926179.2,72798131048137.03,9054437657948.334,155497242862621.8,112360895805003.55,148976991988944.53,413076686125945.25,56178731997747.88,1.2241840555436694e+16,2263898466725651.5,1943720714530.8252,257038508424198.34,1483167889925247.8,731774954841370.4,28393443861079.414,1776462624773.5579,90902457064140.38,2516367006883497.0,686519308359065.0,9603007013181.629,540994707442020.25,234408731740873.72,25395650487487.53,130442858880142.25,69956222250918.14,58359298532254.07,214199252144426.72,116603341892618.78
379241869890928.44,108178349639193.4,159533542681019.8,308009135530457.8,325210537470.2299,16583215593056.11,10631619280642.875,685355495758.4016,215078429381003.03,6322245920168.324,904692768757985.5,5882145754921913.0,1618344419352515.2,43036455329197.25,439837637107542.0,30192606147854.95,992771190547207.1,1033422839638375.5,121820881565951.17,62717977165709.29,318539399891.745,2139672953800498.0,215154021882623.97,577425439111579.9,22093965311922.938,1497388659959.288,123921752866263.22,68857409810477.75,57458414358915.41,253117545733143.25,56178731997747.88,8505839496200776.0,2263898466725651.5,1071867563557.8289,257038508424198.34,1450091892134107.5,731774954841370.4,28393443861079.414,1776462624773.5579,73341199718690.33,1254683080608310.0,686519308359065.0,9603007013181.629,515529077285916.25,65645592458117.19,14640054074811.508,63972781271865.44,69956222250918.14,36969951452106.125,181607425744710.2,101117055511094.0
153347792239952.25,108178349639193.4,144680847164912.2,308009135530457.8,325210537470.2299,5692900942380.508,10631619280642.875,594627117587.0383,106254822151751.86,3104247000056.624,711299966057682.5,5829237345339985.0,1618344419352515.2,36285373716950.91,321402889919318.25,30192606147854.95,741221059061219.8,182261061021451.6,121820881565951.17,62717977165709.29,318539399891.745,1398313064796445.0,215154021882623.97,160254909446903.62,22093965311922.938,1497388659959.288,75522624852885.62,59603172523139.68,48683715529527.88,228732341581250.44,37255179358861.19,4014198392139182.0,1750496565152990.0,276293811320.7449,122690109368991.55,983420749806527.5,487447094429720.94,5836809839498.065,1776462624773.5579,29490372011762.81,1097767963664862.0,408155354695464.8,9603007013181.629,280251307071783.75,65645592458117.19,13363986350065.014,63972781271865.44,46068868644038.4,25801626159038.082,181607425744710.2,62511026764074.55
153347792239952.25,108178349639193.4,110840985339901.94,295659516579341.6,248105383866.7513,5692900942380.508,1882339018992.6194,594627117587.0383,66328492848850.84,1926231864249.1104,711299966057682.5,4721141245207712.0,1275454380564614.2,21567969341633.38,321402889919318.25,30192606147854.95,644382872543541.0,182261061021451.6,121820881565951.17,62717977165709.29,318539399891.745,901664694265522.6,198922801942043.84,160254909446903.62,22093965311922.938,752190536436.1683,63759047086914.2,12640730083091.223,48683715529527.88,163243298914869.97,37255179358861.19,4014198392139182.0,1750496565152990.0,93880755580.49577,72042725627508.88,736381675853705.0,392161389686196.9,5829857816331.406,1333415469448.2476,8061206337253.786,1043079101286581.9,408155354695464.8,9603007013181.629,178197778604668.2,65645592458117.19,13363986350065.014,63972781271865.44,46068868644038.4,25801626159038.082,62539140063711.65,62511026764074.55
36632942437647.195,108178349639193.4,1109536964811.5679,253978268011607.3,166887573479.81235,5692900942380.508,1882339018992.6194,594627117587.0383,66328492848850.84,1516525680805.2336,257251852125149.78,4546490205221010.0,697405368774501.2,18397766422453.105,195106519580858.38,30192606147854.95,277795753922521.12,177946142217366.0,121820881565951.17,20205162387116.355,318539399891.745,420825640291704.0,122609264598180.97,160254909446903.62,22093965311922.938,752190536436.1683,46226904408214.695,12640730083091.223,48683715529527.88,83649317316500.39,21605393277392.49,4014198392139182.0,1175782451861299.8,93880755580.49577,24687190388306.645,736381675853705.0,379738770585103.7,5829857816331.406,990327649688.5941,4568031266416.26,1013619927982706.1,47337252977375.51,8069284802383.401,160574928019723.97,18601999434169.355,4074337935557.693,63972781271865.44,46068868644038.4,25801626159038.082,62539140063711.65,46810720192509.61
17375528680675.223,60488827786691.32,511055920086.371,189505988165815.7,166887573479.81235,4914425829248.026,1709467407245.9597,493323152420.6834,20700444356589.04,716019834256.9761,228183740451807.9,4121578669096886.0,588001959152414.0,8064181631077.391,92517281875360.56,23392097116877.12,277795753922521.12,119089332058473.34,118074553829751.66,20205162387116.355,318539399891.745,420825640291704.0,122609264598180.97,69603381231030.38,16253690070019.22,666789171848.819,27665635818355.84,11058705895026.21,26606025497512.805,73138803577141.55,21605393277392.49,2237873537701217.2,425745706969224.6,54176148085.3726,10174485956413.77,244289129319216.0,179345490059278.25,5829857816331.406,990327649688.5941,4568031266416.26,1013619927982706.1,39008905094964.54,1007644843259.0566,111926631216466.52,18601999434169.355,3653008734811.3477,63972781271865.44,23090254682739.227,25801626159038.082,47729826564865.4,33817473127615.055
16896590629927.105,60488827786691.32,432908866493.1788,133996903550612.3,157242946140.33035,4302038596610.391,1491816676659.5452,215123511065.0973,20700444356589.04,588039872633.4629,197218026102376.9,2796875332214937.5,588001959152414.0,6282634857140.877,54282651725500.5,22032824319101.88,169066975011362.3,119089332058473.34,96667330721599.86,9828402673282.93,318539399891.745,420825640291704.0,122609264598180.97,69603381231030.38,7097540164295.383,666789171848.819,14999249331754.719,11058705895026.21,26606025497512.805,62654106291051.65,18983467867811.652,1278937624184674.0,425745706969224.6,49826684783.659836,10174485956413.77,218568511668548.88,56274335581101.74,2351058930483.185,990327649688.5941,2584393799306.076,822864873270834.4,15883900943214.547,1007644843259.0566,100632065393470.39,9094714749021.283,919560280787.6478,63972781271865.44,23090254682739.227,14244793961440.83,37904229119013.84,22756220689526.465
11010052771144.201,60488827786691.32,432908866493.1788,133996903550612.3,157242946140.33035,4302038596610.391,1206182605390.7043,215123511065.0973,13257820339846.623,339616968851.6922,193367190226908.5,2691189132747599.0,485401724222931.06,6257428738322.851,22623009701204.848,22032824319101.88,169066975011362.3,40975635266569.87,87790738085891.38,8169620098615.057,220363837561.46075,365438578966690.75,104632204137252.72,60867372276331.234,7097540164295.383,666789171848.819,13828056414566.79,11058705895026.21,26606025497512.805,50564482222412.67,14269523943290.492,1134748136832811.5,202216873152047.84,49826684783.659836,9192209534874.105,170815789858377.75,29337383639201.434,2351058930483.185,697845913094.3792,2584393799306.076,822864873270834.4,15883900943214.547,1007644843259.0566,42068159021334.8,9094714749021.283,919560280787.6478,51088814775896.195,23090254682739.227,14048136347258.562,33194739423662.98,22756220689526.465
