F122017-50-0,F122017-50-1,F122017-50-2,F122017-50-3,F122017-50-4,F122017-50-5,F122017-50-6,F122017-50-7,F122017-50-8,F122017-50-9,F122017-50-10,F122017-50-11,F122017-50-12,F122017-50-13,F122017-50-14,F122017-50-15,F122017-50-16,F122017-50-17,F122017-50-18,F122017-50-19,F122017-50-20,F122017-50-21,F122017-50-22,F122017-50-23,F122017-50-24,F122017-50-25,F122017-50-26,F122017-50-27,F122017-50-28,F122017-50-29,F122017-50-30,F122017-50-31,F122017-50-32,F122017-50-33,F122017-50-34,F122017-50-35,F122017-50-36,F122017-50-37,F122017-50-38,F122017-50-39,F122017-50-40,F122017-50-41,F122017-50-42,F122017-50-43,F122017-50-44,F122017-50-45,F122017-50-46,F122017-50-47,F122017-50-48,F122017-50-49,F122017-50-50
208195756994.14514,164891389804.1032,220734773124.12253,168380519629.0,229142337720.37582,136619680266.0235,230282267309.62823,206448567554.95538,238889474525.54047,164556032301.1842,215004728356.62128,236165438143.95456,186461773569.07248,175845822062.36334,262974866136.77072,140898082192.78992,184236076847.52963,216597000910.19403,268033749844.02664,236758297547.64383,144482558822.9857,285575350483.5314,170201998713.14798,238503545255.01178,170567336514.27707,169295305783.05402,173862990672.46115,236034151291.6761,277984366066.8983,290697319770.8058,169606076079.37686,164467929193.74756,242227184574.95944,162707861407.7241,144599045622.1417,207146637347.5905,246391738120.992,210991345219.10928,144204156290.29257,198889932077.76797,207040872336.22375,206259717204.1328,193599774756.35703,128335137710.7417,192733849483.08435,275107723733.32214,146088310987.80142,229217967965.53973,234146303758.20508,181480526113.18817,212555784695.11172
208195756994.14514,164891389804.1032,220734773124.12253,168380519629.0,229142337720.37582,132130230811.75536,230282267309.62823,172330264958.77313,238889474525.54047,119147264914.07098,182161585765.00464,236165438143.95456,180366531357.51016,175845822062.36334,177151826857.6657,140898082192.78992,184236076847.52963,216597000910.19403,268033749844.02664,189026450646.46756,144482558822.9857,259348897661.34314,170201998713.14798,224368172806.6485,146797695619.26196,152130766391.652,106314592003.7127,168325242517.7894,180425264718.4483,170208538918.84393,169606076079.37686,138123485219.9806,185188547314.0803,135269203779.57582,116512296938.67616,207146637347.5905,184793332209.70685,180006777252.52612,144204156290.29257,156302742711.64767,207040872336.22375,206259717204.1328,193599774756.35703,95744659865.63039,183101927955.99042,247360548489.18643,128899963915.8888,199150421939.23166,161445603426.66385,181480526113.18817,212555784695.11172
183627486158.86978,121037785887.17685,174181835387.43716,144365651871.10016,159538999818.3567,132130230811.75536,215553397698.45474,168203030198.34253,199410385565.37973,93257180853.89207,133240619982.61404,213255077947.1202,173111512013.6498,161403833392.5001,177151826857.6657,113086775993.09976,166838795484.10895,136250355893.92094,219189323515.08054,176983054948.47803,144482558822.9857,259143847036.535,108196643663.85712,186117707240.86346,131257693862.9961,150133477782.25635,106314592003.7127,168325242517.7894,164503732055.58038,170208538918.84393,166835790711.59613,128243928442.27551,181497649575.48026,133774970142.77524,101037476705.2479,141736126827.69968,108690553266.09535,180006777252.52612,144204156290.29257,156302742711.64767,162609768660.93924,131732333140.14597,189250139648.7049,79837439492.1472,183101927955.99042,193830811319.38583,85639539987.69382,162486956816.1307,134081371387.89932,181480526113.18817,212555784695.11172
180646357871.0186,121037785887.17685,130865070617.58134,144365651871.10016,125352408923.62004,128249741141.69157,92051416989.2819,140151168802.9972,159562835069.17938,84917517888.79987,133240619982.61404,169619971498.7287,133929594278.39226,161403833392.5001,171868936226.29938,113086775993.09976,156842359655.27856,128211386450.47609,183014480413.25443,113215770315.72142,144482558822.9857,259143847036.535,91471904428.67213,178086076402.48077,129344476208.25064,74829681248.61606,106314592003.7127,159369487097.2617,114978495846.58533,153734486752.13687,94354641320.97849,128243928442.27551,147964843985.64438,96864724096.94162,95345418897.86118,141736126827.69968,75939538983.16565,180006777252.52612,101442655707.984,153247091197.59607,162609768660.93924,131732333140.14597,141562825007.79355,75094717332.55081,177678511084.39734,174487570803.26654,85639539987.69382,162486956816.1307,134081371387.89932,127003102013.76514,164270430522.34756
156996711718.56644,121037785887.17685,121712584705.4571,144365651871.10016,125352408923.62004,102703085314.5024,92051416989.2819,133595182968.4022,147993072815.68802,84917517888.79987,133240619982.61404,169619971498.7287,79956517136.29616,108409246143.5011,104096389660.25804,87201462994.6893,128216631678.3907,116128518582.43056,173070917907.93607,91967246688.95879,144482558822.9857,213594572201.49738,91471904428.67213,175025788854.7433,129344476208.25064,74829681248.61606,106314592003.7127,128947022891.51147,114978495846.58533,138733221539.32043,94354641320.97849,128243928442.27551,147964843985.64438,96864724096.94162,95345418897.86118,131809785809.02979,75939538983.16565,147166290332.81177,101442655707.984,151285969838.34024,148579099016.88574,131732333140.14597,116467825293.68178,75094717332.55081,134640020561.45186,171570582363.50302,72262452573.83807,162486956816.1307,134081371387.89932,127003102013.76514,164270430522.34756
148171015590.4129,121037785887.17685,76296659856.68698,121019883631.69247,113829677202.4066,94888374070.32132,87092526465.58252,126415402865.42062,134027566365.04463,69341738555.81389,81365750143.70926,119530636131.17113,79956517136.29616,108409246143.5011,104096389660.25804,87201462994.6893,116748043589.9812,103252202850.64532,173070917907.93607,91967246688.95879,117191022944.51639,182981985554.55746,72416606576.53682,132328900753.99113,98235939569.03778,74829681248.61606,82640036002.94418,128947022891.51147,93655691934.96921,126762237990.78822,73926488913.41403,116995054915.42975,133394607292.39674,94566714308.20314,81335216585.55716,111699787385.66547,75939538983.16565,93431263221.07356,90826329555.80058,113826087334.42148,132612579964.96854,107844005583.37115,110005174851.21622,75094717332.55081,100516836823.92899,130776564496.90623,68616637767.46449,125333154768.75163,123906313951.93735,127003102013.76514,101341496301.42252
90508004169.66434,117906201804.63885,76296659856.68698,101064868347.66884,113829677202.4066,92446320838.3134,74669847178.79582,87988708289.58765,134027566365.04463,69341738555.81389,66999520907.329185,119530636131.17113,70719679850.17885,108409246143.5011,91634996034.73737,85201204972.75388,70253817818.31075,98899938658.73131,127133287815.73776,86802208900.40376,113570335409.84169,89399855947.27802,72416606576.53682,132328900753.99113,98235939569.03778,74829681248.61606,82640036002.94418,81827471133.57451,78023268253.83226,122178756828.66315,73926488913.41403,109165220278.36124,133394607292.39674,85684529780.46632,81335216585.55716,78313767794.597,54453493892.90991,92352103709.77988,90826329555.80058,107005659204.98895,109271765285.03766,107844005583.37115,110005174851.21622,75094717332.55081,100516836823.92899,81378094189.83893,67666928947.32995,125333154768.75163,119915643312.47609,127003102013.76514,95771698375.6354
90508004169.66434,83122561262.63744,76296659856.68698,74721012292.14787,92037633973.60962,92123214262.65839,59045960997.424065,87988708289.58765,101314708813.74423,67282674907.23023,66999520907.329185,97513641912.78046,70719679850.17885,107514986744.8814,91634996034.73737,67015742663.47903,70253817818.31075,97421109640.42076,127133287815.73776,82002552829.50754,113570335409.84169,89399855947.27802,61988404094.36471,132328900753.99113,74723998852.345,72455922338.72298,78429462262.80751,54023951339.68414,72694553485.72794,63290559529.30947,73926488913.41403,88912204524.34535,117720281598.00414,84616026176.34389,81335216585.55716,78313767794.597,54453493892.90991,86801922980.69406,79471913446.72162,86044649418.89537,62343985736.15367,80066337915.14745,72269020053.92313,73190624899.95117,74344547168.3131,78763767520.1935,67666928947.32995,94935990813.54391,103191957326.02127,109342197162.80016,95771698375.6354
90508004169.66434,83122561262.63744,76296659856.68698,74721012292.14787,92037633973.60962,78803097673.2678,57437392038.72613,87988708289.58765,101314708813.74423,52962219695.99431,59754280173.99183,93977519871.01013,67929752458.98361,107514986744.8814,91634996034.73737,67015742663.47903,70253817818.31075,92761445840.31282,108498918342.53506,82002552829.50754,82564035203.96642,89399855947.27802,51578634059.38332,103613066936.63846,59976693932.45683,72455922338.72298,78326539749.31465,54023951339.68414,70126011962.30412,63290559529.30947,73926488913.41403,63385399564.03898,88618032329.80414,54994088436.37264,67925967404.37736,78313767794.597,54453493892.90991,86801922980.69406,53075951379.55675,77083065961.60399,62343985736.15367,80066337915.14745,72231290206.34514,67465852627.61103,73029516816.96898,78763767520.1935,67666928947.32995,82423301574.49977,88573130265.50734,81111447562.90468,92344973089.79822
78297246569.37447,67393194048.97584,47040675212.76572,64656755155.287544,75313130806.07394,62295406973.85676,57437392038.72613,74802439772.31648,101314708813.74423,52962219695.99431,59754280173.99183,78874798081.61066,67929752458.98361,85676221508.57013,87175734374.30098,67015742663.47903,70253817818.31075,74156515188.05948,90216398596.65843,82002552829.50754,71904731024.35825,89399855947.27802,51578634059.38332,101213081212.54895,58831552022.0888,69073349068.51273,73352546963.38528,54023951339.68414,69861640742.4343,63290559529.30947,71455606932.8343,63385399564.03898,88618032329.80414,54994088436.37264,60976536842.17091,76872994570.42245,54453493892.90991,86801922980.69406,53075951379.55675,64602780831.46343,57006345196.20654,73212537500.20659,72231290206.34514,61393273578.13048,73029516816.96898,75738789794.39804,64694024801.81051,75851550668.00087,70519724669.88094,81111447562.90468,58400853592.6687
78297246569.37447,50060254506.37955,47040675212.76572,62699423978.28106,74897501235.4601,57699837723.67694,55580502412.96378,72102383468.59724,67394906485.11367,40774393705.69015,57681953946.578064,78874798081.61066,62722107700.813614,81990174955.23767,65347058995.2627,66780549609.103966,59701398064.860245,58922872746.87369,70176738183.57118,80494893747.552,71904731024.35825,65523667829.94726,48318774752.953125,91538785663.36177,58831552022.0888,53692863014.2262,73352546963.38528,54023951339.68414,52667444906.30295,63290559529.30947,64735428282.56104,63385399564.03898,72114681397.04077,54994088436.37264,52621891802.377,76872994570.42245,40619080631.65904,86801922980.69406,53075951379.55675,64602780831.46343,57006345196.20654,61401315904.92961,72231290206.34514,61393273578.13048,73029516816.96898,73837177404.9419,45660230217.21816,75851550668.00087,66873773233.9507,73456934732.85065,58400853592.6687
78297246569.37447,50060254506.37955,47040675212.76572,58214220236.37732,70571797323.06056,47204769991.97726,49322221619.412125,57810942039.04316,67394906485.11367,40774393705.69015,39094539606.37503,78874798081.61066,41513991470.34147,55250528699.78004,65347058995.2627,61158210037.04563,59701398064.860245,58922872746.87369,69308028941.56886,68757443499.16164,71904731024.35825,65523667829.94726,43771250064.45296,83952641402.33618,42933491683.77258,53692863014.2262,73352546963.38528,51047573847.36972,52667444906.30295,53630478210.56526,32207966970.287865,49544697852.09102,65993265968.2938,46176721331.019516,52621891802.377,76496575626.76776,40619080631.65904,69009382967.92036,44410395792.936264,54215666772.05124,46655688408.22481,61401315904.92961,70807504597.01328,61393273578.13048,47067498412.14004,59883981462.83568,35474599430.06748,72972622019.29674,66873773233.9507,69601771077.53802,58324191668.472786
