F122017-50-0,F122017-50-1,F122017-50-2,F122017-50-3,F122017-50-4,F122017-50-5,F122017-50-6,F122017-50-7,F122017-50-8,F122017-50-9,F122017-50-10,F122017-50-11,F122017-50-12,F122017-50-13,F122017-50-14,F122017-50-15,F122017-50-16,F122017-50-17,F122017-50-18,F122017-50-19,F122017-50-20,F122017-50-21,F122017-50-22,F122017-50-23,F122017-50-24,F122017-50-25,F122017-50-26,F122017-50-27,F122017-50-28,F122017-50-29,F122017-50-30,F122017-50-31,F122017-50-32,F122017-50-33,F122017-50-34,F122017-50-35,F122017-50-36,F122017-50-37,F122017-50-38,F122017-50-39,F122017-50-40,F122017-50-41,F122017-50-42,F122017-50-43,F122017-50-44,F122017-50-45,F122017-50-46,F122017-50-47,F122017-50-48,F122017-50-49,F122017-50-50
303726260089.26874,221406480420.05832,308066643868.84235,272342472639.6827,307096195690.1724,255417653484.3532,254539940400.00998,206094922828.9549,309812168405.4641,254167129853.5322,314118792999.7361,219153575318.79807,277540289192.82526,295316203578.3451,165782326970.11774,212418986568.05807,213244334278.45425,222564629842.08328,156430871423.79974,230615449290.7474,275220891135.0241,199146986214.75122,436027771703.0878,377528820098.727,495363734151.44336,411781757758.68555,181639953858.0553,269075736295.8804,331419791295.3699,253896534759.19412,196116955402.9402,139355532771.1945,212622025056.48093,263699818032.00125,223882984565.18994,269418573161.71066,249541391987.39816,328250341458.35535,221524517390.02094,191956336167.361,195702978611.74072,314292633995.45276,219742566918.44922,266055838966.06488,327603004026.7734,337204180933.8286,335038846418.3566,145531687652.75894,267547225220.43872,284781451514.20245,251976617647.9242
280707104080.22363,221406480420.05832,269668098364.6232,225172955941.4022,307096195690.1724,255417653484.3532,215078133842.37744,190306333933.39523,211847937608.05487,201679599284.79172,207982850196.8293,150564999052.85995,195630733741.8349,260308907821.42044,199113748601.60556,212418986568.05807,180999311671.72266,212535710093.86966,159966176894.65247,216354016115.46164,222380355648.293,199146986214.75122,277440863026.681,251497577256.75085,289052386408.6028,290140303685.61804,181639953858.0553,239302646212.85275,145169793032.08878,274307028436.99133,196116955402.9402,117588115137.71768,146514083742.84738,211398280386.84116,189475101736.58624,184150931550.3598,207440494213.66928,205175876650.62906,215260442345.5121,166080671077.1205,191521501792.5411,292172809245.3604,219161948975.66223,204283796993.42874,308426893742.15845,267821049464.25537,287138574499.713,119958648573.14983,224142973997.0805,197704307796.3382,232477080218.8971
252370856572.51254,176271988959.292,187052041916.44614,203432162156.80496,217242673496.25922,155791276708.51404,170727917788.16382,155728639674.93307,194504381652.79825,156890594202.31195,183281271291.0716,151177239015.72528,157719298252.06393,167717043280.04346,134810753318.48239,212418986568.05807,206675768776.55722,218655881388.06058,175137287710.1714,216354016115.46164,222380355648.293,164135366458.38965,234027097200.17154,124257869661.66286,284093767999.8343,213936438940.1594,180768427665.65887,160530250441.467,145169793032.08878,164412772918.17017,150389428971.28702,111567323619.31682,97648878682.51463,211999771637.68472,139813872380.62112,181431865067.0492,135424931800.35065,178883081443.99728,193756913194.23904,151845419102.39053,171224795763.33792,211144530235.06967,185497324366.7413,150060309667.90707,171756038764.80954,192774125633.65237,187220662823.60217,127881778076.87692,123767740292.51541,189735384872.40366,202791100001.7096
211891670794.5633,176271988959.292,134251779423.56645,149169307383.65167,114920337184.2105,140372509269.43558,145125305598.92783,124297540408.94298,167674825187.66278,79087149483.57869,196149685690.77692,133410627521.008,107580402290.79344,95310086504.89452,97724700495.39383,175249558184.6416,171712763668.48114,176633817016.22043,116365210855.16608,178607389894.02444,208521363880.99,164135366458.38965,203230925178.86932,120114137522.14458,190868156877.7817,205751231780.9151,111064557863.96494,129081050323.48709,120532977889.38072,130650933350.08636,98886573151.0004,116039521906.13393,81989053199.16695,153994110602.29007,85814582576.47324,135474588139.9783,113501357366.4943,152228688625.36752,157215695871.46915,116508719389.98479,171224795763.33792,111540129556.11465,174027157110.70322,102746408524.02974,171756038764.80954,115044172343.92003,150486738528.2464,78095252847.25188,119781986329.4827,138588113648.40964,162986142677.50967
151751965589.3105,176271988959.292,114988153776.81584,120259385116.2289,105989669485.0238,126296510048.88245,97279843165.91824,80976673690.7051,148543114781.85834,100199524396.09831,130784958229.1059,105051042241.79817,123668742602.01567,90723386468.01881,117243822336.97981,116217079676.44666,106260686969.0828,174626789369.88452,97344188650.60944,170544627033.02414,199022740290.4864,164135366458.38965,148061516359.13834,104065217160.94554,189769207058.79477,195097505713.72345,111064557863.96494,143309719365.94565,120532977889.38072,114798890887.7353,77623659187.04427,125912893802.86005,62871234080.948364,185152285888.54767,97351313126.5629,120842257610.97452,103704947493.45758,108431938284.50166,128430820094.86334,101176359091.07956,171224795763.33792,93353088516.15546,135579958922.47508,128962234345.91504,170913230350.59863,99604895421.81056,131601788366.47498,96079356247.6422,78014193235.98782,137122356468.70566,120937605659.35918
96082901612.46738,176271988959.292,77687811692.73656,99646200422.74791,110787474486.33502,95095721759.88866,89670308759.62816,73310330772.68983,123795489846.37039,83493223597.2952,134172306747.26038,71561151221.68495,91805281274.149,80408562744.70932,84749160094.93747,116217079676.41873,111845824311.46552,127877826401.00142,94712321030.43193,132030802436.74959,182305495943.96313,122808322145.84758,127859610951.34651,82145307100.53944,140384822876.13577,180655291680.28647,111064557836.72664,138855077118.0562,86333938406.03552,72245264834.215,55306872465.11233,103866090325.89485,77164302180.49266,140287339411.04678,81070066509.04521,110287699320.55975,80205498981.49078,114701672474.42772,124083037277.93317,116088973422.44273,148525752097.17874,84160236998.16217,114697363157.91675,82141270367.38226,114847671703.1945,118880636394.99443,118479254598.18245,91109010555.14984,76619371597.43564,116348197990.79169,112555638493.01547
96082901612.46738,132186345005.80841,77687811692.73656,99646200422.74791,104576178492.80107,85871098940.77022,89670308759.62816,65761485423.77029,118118285263.98566,78924070939.26996,123090671543.69913,71561097569.01456,91803834557.00508,63549815316.778305,84749160094.93747,106551579158.50005,78410895557.79614,107296844625.3995,75010103065.54796,132030802436.25027,159488396602.10733,98810910507.02399,127859610951.34651,82145307100.53944,132664712177.84071,161080505179.24332,103083890921.04881,114770472745.97908,69020908598.4582,72245260496.21696,55306872465.11233,90712688802.15704,73829835292.95717,127122705720.7116,81070066509.04521,110287699320.55975,80205498981.49078,80608675530.74576,91516084617.8219,116088973422.44273,86609978506.88603,84160236998.16217,81425752696.04596,75908897798.45865,94907107860.26118,69979157131.01796,118479254598.18245,82779777460.10916,64332301221.53431,95716311809.61678,103520853899.56134
96082901612.46738,100009914434.58832,77477139965.42603,87218117302.41841,92377786910.04448,83145251406.16345,89670308759.62816,65761485423.77029,93326686597.77376,78924070939.26996,112822951130.04749,70186200222.72418,78585239209.74165,63549815316.778305,84748928534.03932,96721572389.51152,96026695315.31355,87450892939.69266,66677423547.09644,132030802436.25027,126499649364.88266,86209032111.35324,127859610951.34651,72012459006.03246,116307244781.47357,143705947884.64514,68347064973.87497,97955123272.31035,40950609403.0787,58129015776.77362,55306872465.11233,69711878539.18404,60593157054.97892,108897724438.67833,58310946234.4267,65404526251.863,69144291196.4101,84039584206.8438,89139142442.2424,104597938951.33328,97348273417.17746,84160236998.16217,49175564070.00794,75908897798.45865,78218935769.70801,69675850549.61357,98226526987.29701,66482736233.77685,64332301221.53431,91491443260.79909,88757756440.69601
87336448247.43573,111913712155.20871,77267997569.96031,78254811019.02736,81544603896.92325,68732418099.64583,89670308759.62816,62026311325.17711,61666298632.375374,71591791381.49493,87939260807.26286,70186158403.06653,85656646348.44281,59028453790.44142,84748928534.03932,69740698286.77483,93294363373.00098,89309409068.69977,57417579565.52645,127995042546.33224,126499649364.88266,88622874035.43283,109178956327.75383,72012459005.99535,103113434815.7654,145708864670.41934,67303081220.70337,75344885416.61111,42218721686.27979,58129015776.77362,50975984012.89571,59671124891.828674,58161921127.697365,98969305148.91533,57333353498.465,66748303549.087296,80205498981.49078,81699419532.807,76549650848.42268,99001069307.46616,57307977374.91481,72516979040.55222,33889190659.01421,72627893458.51357,75828752819.43513,57528585759.634605,58749491956.35319,65139582470.086296,58765940321.34803,75418170890.56041,65262424097.392876
78421025090.14421,77162488034.3393,77057296226.25201,90952673549.9995,65082441330.36741,76010456903.6423,89670308759.62787,42665299867.73343,70483605569.49638,57792186189.64363,99345976018.79851,70186148824.12558,82311408670.82726,63549815316.778305,84727627289.64973,63449849718.98383,95927562755.0939,101274668965.30618,45047373342.7632,110472214694.87123,126499623902.95595,62136979273.28669,99328696623.42963,64537525193.420654,82897532541.44838,127905681381.10487,67302924981.96243,98877033378.78737,38828197820.20393,55427550816.308945,54236347538.53092,49550629102.04173,55820205573.42423,91490719158.60887,49810929482.5964,62570932595.48576,68378764700.88147,78424950874.15134,70513245986.20383,89782292930.30954,61471785692.37719,52652437208.734535,43316558601.1003,70263808257.17422,66992478776.27116,64304776172.82867,58749491956.35319,60277141609.59082,57575428674.07957,75174382512.30301,69178260075.3179
